"index","description","branch_id","location","request_id","rating"
"84","Meal","26","LATAM","319","5"
"85","Meal","69","LATAM","322","5"
"86","Laundry","68","EMEA","328","4"
"87","Meal","42","LATAM","340","5"
"88","Meal","70","LATAM","341","5"
"89","Meal","34","EMEA","342","5"
"90","Laundry","41","LATAM","346","4"
"91","Meal","44","EMEA","347","5"
"92","Meal","11","EMEA","348","4"
"93","Laundry","11","EMEA","352","4"
"94","Meal","1","LATAM","353","4"
"95","Meal","7","EMEA","369","3"
"96","Laundry","93","LATAM","372","4"
"97","Laundry","47","EMEA","379","3"
"98","Laundry","34","EMEA","380","5"
"99","Meal","51","LATAM","383","5"
"100","Meal","13","EMEA","384","4"
"101","Laundry","79","EMEA","386","4"
"102","Meal","26","LATAM","387","5"
"103","Laundry","93","LATAM","396","3"
"104","Laundry","63","EMEA","397","4"
"105","Laundry","29","EMEA","399","4"
"106","Meal","16","LATAM","401","4"
"107","Meal","1","LATAM","402","4"
"108","Laundry","30","EMEA","403","5"
"109","Meal","26","LATAM","408","4"
"110","Meal","16","LATAM","409","4"
"111","Meal","10","EMEA","411","5"
"112","Meal","11","EMEA","414","4"
"113","Laundry","64","LATAM","415","4"
"114","Meal","23","EMEA","417","4"
"115","Meal","27","EMEA","418","4"
"116","Meal","30","EMEA","421","5"
"117","Meal","42","LATAM","423","4"
"118","Meal","40","EMEA","425","5"
"119","Laundry","47","EMEA","427","4"
"120","Meal","41","LATAM","428","4"
"121","Meal","79","EMEA","429","4"
"122","Laundry","83","EMEA","430","3"
"123","Meal","23","EMEA","431","4"
"124","Laundry","72","LATAM","434","5"
"125","Laundry","64","LATAM","437","3"
"126","Meal","23","EMEA","439","5"
"127","Laundry","42","LATAM","442","4"
"128","Meal","64","LATAM","443","3"
"129","Meal","37","LATAM","444","4"
"130","Meal","11","EMEA","445","4"
"131","Meal","23","EMEA","451","5"
"132","Laundry","44","EMEA","455","5"
"133","Meal","1","LATAM","457","4"
"134","Laundry","90","EMEA","458","5"
"135","Meal","7","EMEA","463","4"
"136","Meal","14","EMEA","466","4"
"137","Laundry","10","EMEA","467","4"
"138","Meal","21","EMEA","470","4"
"139","Meal","51","LATAM","476","4"
"140","Meal","27","EMEA","477","4"
"141","Laundry","72","LATAM","479","5"
"142","Meal","1","LATAM","480","3"
"143","Meal","69","LATAM","485","5"
"144","Laundry","50","EMEA","488","3"
"145","Laundry","50","EMEA","491","4"
"146","Laundry","10","EMEA","492","5"
"147","Laundry","74","EMEA","496","5"
"148","Laundry","87","LATAM","497","4"
"149","Meal","14","EMEA","503","3"
"150","Meal","1","LATAM","504","4"
"151","Meal","21","EMEA","505","3"
"152","Laundry","45","EMEA","506","4"
"153","Laundry","72","LATAM","510","4"
"154","Laundry","50","EMEA","513","4"
"155","Laundry","51","LATAM","514","5"
"156","Meal","11","EMEA","516","4"
"157","Laundry","45","EMEA","517","4"
"158","Laundry","42","LATAM","518","5"
"159","Laundry","69","LATAM","523","4"
"160","Meal","1","LATAM","525","4"
"161","Laundry","66","EMEA","529","5"
"162","Meal","90","EMEA","548","4"
"163","Meal","16","LATAM","550","4"
"164","Meal","40","EMEA","560","4"
"165","Meal","62","EMEA","561","4"
"166","Meal","27","EMEA","564","3"
"167","Laundry","34","EMEA","565","5"
"168","Meal","7","EMEA","566","3"
"169","Meal","37","LATAM","568","5"
"170","Meal","30","EMEA","571","5"
"171","Laundry","83","EMEA","574","4"
"172","Meal","47","EMEA","581","4"
"173","Meal","40","EMEA","583","5"
"174","Laundry","93","LATAM","587","3"
"175","Meal","10","EMEA","592","5"
"176","Laundry","51","LATAM","598","5"
"177","Laundry","82","EMEA","602","5"
"178","Laundry","74","EMEA","620","5"
"179","Meal","1","LATAM","624","4"
"180","Laundry","98","EMEA","625","5"
"181","Laundry","72","LATAM","628","5"
"182","Meal","66","EMEA","635","5"
"183","Laundry","72","LATAM","646","5"
"184","Laundry","50","EMEA","647","4"
"185","Meal","83","EMEA","649","4"
"186","Laundry","51","LATAM","650","5"
"187","Laundry","74","EMEA","654","5"
"188","Laundry","64","LATAM","655","4"
"189","Meal","62","EMEA","657","5"
"190","Laundry","70","LATAM","662","5"
"191","Laundry","72","LATAM","665","5"
"192","Meal","29","EMEA","667","5"
"193","Meal","62","EMEA","669","5"
"194","Meal","34","EMEA","671","5"
"195","Laundry","41","LATAM","673","4"
"196","Meal","57","LATAM","674","4"
"197","Laundry","34","EMEA","675","5"
"198","Laundry","47","EMEA","677","4"
"199","Meal","11","EMEA","682","4"
"200","Laundry","1","LATAM","688","4"
"201","Laundry","26","LATAM","702","5"
"202","Laundry","37","LATAM","704","4"
"203","Meal","16","LATAM","705","4"
"204","Meal","34","EMEA","706","5"
"205","Laundry","44","EMEA","707","5"
"206","Meal","57","LATAM","710","4"
"207","Laundry","34","EMEA","712","4"
"208","Meal","21","EMEA","714","4"
"209","Laundry","34","EMEA","719","5"
"210","Meal","1","LATAM","721","4"
"211","Laundry","47","EMEA","722","4"
"212","Laundry","57","LATAM","728","4"
"213","Laundry","75","LATAM","729","4"
"214","Meal","64","LATAM","738","4"
"215","Laundry","70","LATAM","746","5"
"216","Laundry","93","LATAM","747","4"
"217","Laundry","41","LATAM","750","4"
"218","Laundry","16","LATAM","761","4"
"219","Meal","10","EMEA","763","5"
"220","Meal","16","LATAM","764","4"
"221","Laundry","70","LATAM","774","5"
"222","Meal","21","EMEA","776","4"
"223","Meal","16","LATAM","778","4"
"224","Laundry","30","EMEA","779","4"
"225","Laundry","27","EMEA","784","4"
"226","Laundry","34","EMEA","788","5"
"227","Meal","1","LATAM","791","3"
"228","Laundry","27","EMEA","795","4"
"229","Meal","27","EMEA","798","4"
"230","Meal","14","EMEA","801","4"
"231","Meal","90","EMEA","802","4"
"232","Meal","1","LATAM","804","4"
"233","Meal","7","EMEA","806","3"
"234","Laundry","70","LATAM","813","5"
"235","Laundry","75","LATAM","817","4"
"236","Meal","60","LATAM","819","4"
"237","Meal","21","EMEA","827","4"
"238","Laundry","93","LATAM","833","3"
"239","Laundry","79","EMEA","834","5"
"240","Laundry","50","EMEA","850","3"
"241","Laundry","60","LATAM","860","3"
"242","Meal","16","LATAM","865","3"
"243","Meal","47","EMEA","866","4"
"244","Laundry","83","EMEA","871","3"
"245","Meal","11","EMEA","876","4"
"246","Laundry","93","LATAM","880","4"
"247","Meal","29","EMEA","883","5"
"248","Meal","66","EMEA","885","5"
"249","Meal","34","EMEA","886","5"
"250","Meal","10","EMEA","890","5"
"251","Laundry","74","EMEA","894","4"
"252","Meal","7","EMEA","895","4"
"253","Meal","34","EMEA","899","5"
"254","Laundry","41","LATAM","902","4"
"255","Laundry","81","EMEA","907","4"
"256","Laundry","11","EMEA","908","4"
"257","Laundry","37","LATAM","909","5"
"258","Meal","63","EMEA","910","4"
"259","Laundry","82","EMEA","917","5"
"260","Meal","72","LATAM","918","5"
"261","Meal","23","EMEA","919","5"
"262","Meal","27","EMEA","922","4"
"263","Meal","11","EMEA","923","4"
"264","Meal","1","LATAM","925","4"
"265","Laundry","45","EMEA","926","4"
"266","Meal","1","LATAM","927","4"
"267","Meal","62","EMEA","929","5"
"268","Meal","14","EMEA","930","3"
"269","Laundry","41","LATAM","931","3"
"270","Meal","13","EMEA","932","5"
"271","Meal","66","EMEA","933","5"
"272","Meal","1","LATAM","934","4"
"273","Laundry","68","EMEA","935","5"
"274","Meal","64","LATAM","936","4"
"275","Meal","27","EMEA","938","3"
"276","Meal","1","LATAM","939","3"
"277","Meal","62","EMEA","943","4"
"278","Laundry","27","EMEA","945","4"
"279","Meal","79","EMEA","948","5"
"280","Meal","34","EMEA","950","5"
"281","Meal","44","EMEA","954","5"
"282","Meal","29","EMEA","960","4"
"283","Laundry","60","LATAM","962","3"
"284","Laundry","47","EMEA","966","3"
"285","Meal","11","EMEA","968","4"
"286","Meal","34","EMEA","969","5"
"287","Meal","16","LATAM","970","3"
"288","Laundry","72","LATAM","971","5"
"289","Meal","27","EMEA","973","4"
"290","Laundry","30","EMEA","976","5"
"291","Meal","11","EMEA","983","4"
"292","Meal","14","EMEA","984","4"
"293","Meal","14","EMEA","999","3"
"294","Laundry","10","EMEA","1012","5"
"295","Laundry","40","EMEA","1015","4"
"296","Laundry","64","LATAM","1024","4"
"297","Meal","14","EMEA","1027","4"
"298","Meal","34","EMEA","1028","4"
"299","Laundry","82","EMEA","1029","5"
"300","Laundry","64","LATAM","1031","4"
"301","Meal","16","LATAM","1036","4"
"302","Meal","1","LATAM","1038","3"
"303","Meal","41","LATAM","1042","4"
"304","Laundry","27","EMEA","1045","3"
"305","Meal","30","EMEA","1046","5"
"306","Laundry","60","LATAM","1049","4"
"307","Meal","44","EMEA","1051","4"
"308","Laundry","34","EMEA","1053","5"
"309","Meal","7","EMEA","1059","3"
"310","Meal","7","EMEA","1066","4"
"311","Meal","21","EMEA","1068","3"
"312","Laundry","21","EMEA","1069","4"
"313","Laundry","66","EMEA","1077","5"
"314","Laundry","92","EMEA","1080","3"
"315","Laundry","60","LATAM","1085","4"
"316","Meal","1","LATAM","1089","4"
"317","Meal","69","LATAM","1095","4"
"318","Meal","45","EMEA","1097","4"
"319","Meal","7","EMEA","1102","4"
"320","Laundry","42","LATAM","1108","5"
"321","Laundry","34","EMEA","1111","5"
"322","Meal","63","EMEA","1112","4"
"323","Laundry","50","EMEA","1113","4"
"324","Laundry","26","LATAM","1125","4"
"325","Meal","16","LATAM","1126","3"
"326","Meal","7","EMEA","1129","4"
"327","Meal","26","LATAM","1133","5"
"328","Meal","45","EMEA","1136","4"
"329","Laundry","68","EMEA","1138","5"
"330","Laundry","93","LATAM","1147","4"
"331","Laundry","68","EMEA","1150","4"
"332","Meal","13","EMEA","1154","5"
"333","Laundry","74","EMEA","1155","5"
"334","Laundry","34","EMEA","1157","5"
"335","Laundry","29","EMEA","1159","4"
"336","Meal","72","LATAM","1160","5"
"337","Laundry","34","EMEA","1163","5"
"338","Meal","60","LATAM","1165","4"
"339","Meal","41","LATAM","1176","3"
"340","Laundry","57","LATAM","1178","4"
"341","Meal","37","LATAM","1180","5"
"342","Laundry","81","EMEA","1181","4"
"343","Meal","1","LATAM","1182","3"
"344","Laundry","62","EMEA","1194","5"
"345","Laundry","70","LATAM","1195","4"
"346","Meal","23","EMEA","1197","5"
"347","Meal","47","EMEA","1198","4"
"348","Meal","30","EMEA","1199","5"
"349","Laundry","79","EMEA","1202","5"
"350","Meal","13","EMEA","1205","5"
"351","Meal","1","LATAM","1207","4"
"352","Meal","26","LATAM","1211","4"
"353","Meal","72","LATAM","1213","5"
"354","Meal","26","LATAM","1215","4"
"355","Laundry","42","LATAM","1216","4"
"356","Meal","51","LATAM","1222","5"
"357","Laundry","34","EMEA","1224","5"
"358","Meal","68","EMEA","1232","5"
"359","Meal","1","LATAM","1234","3"
"360","Meal","41","LATAM","1235","4"
"361","Laundry","82","EMEA","1238","4"
"362","Laundry","70","LATAM","1239","4"
"363","Meal","42","LATAM","1246","5"
"364","Meal","66","EMEA","1247","5"
"365","Meal","50","EMEA","1248","4"
"366","Meal","51","LATAM","1249","4"
"367","Laundry","74","EMEA","1250","4"
"368","Laundry","90","EMEA","1255","5"
"369","Laundry","92","EMEA","1259","4"
"370","Meal","60","LATAM","1264","4"
"371","Meal","11","EMEA","1270","3"
"372","Meal","1","LATAM","1271","3"
"373","Meal","10","EMEA","1276","5"
"374","Laundry","83","EMEA","1280","4"
"375","Meal","47","EMEA","1283","4"
"376","Laundry","13","EMEA","1285","5"
"377","Laundry","94","EMEA","1286","4"
"378","Meal","14","EMEA","1290","4"
"379","Laundry","62","EMEA","1297","5"
"380","Laundry","63","EMEA","1298","3"
"381","Meal","1","LATAM","1301","4"
"382","Meal","34","EMEA","1302","4"
"383","Meal","72","LATAM","1308","5"
"384","Laundry","64","LATAM","1310","4"
"385","Meal","7","EMEA","1312","4"
"386","Meal","16","LATAM","1314","4"
"387","Laundry","66","EMEA","1316","4"
"388","Laundry","79","EMEA","1317","5"
"389","Laundry","70","LATAM","1318","5"
"390","Laundry","79","EMEA","1332","4"
"391","Laundry","79","EMEA","1343","5"
"392","Meal","16","LATAM","1347","3"
"393","Meal","41","LATAM","1354","3"
"394","Laundry","57","LATAM","1355","3"
"395","Meal","21","EMEA","1356","4"
"396","Meal","10","EMEA","1360","5"
"397","Laundry","74","EMEA","1367","4"
"398","Meal","13","EMEA","1368","5"
"399","Meal","1","LATAM","1369","4"
"400","Meal","1","LATAM","1374","3"
"401","Meal","14","EMEA","1375","4"
"402","Meal","42","LATAM","1382","5"
"403","Laundry","30","EMEA","1383","5"
"404","Laundry","23","EMEA","1387","5"
"405","Laundry","87","LATAM","1393","4"
"406","Meal","62","EMEA","1394","5"
"407","Meal","26","LATAM","1400","5"
"408","Meal","1","LATAM","1402","4"
"409","Meal","30","EMEA","1404","5"
"410","Meal","23","EMEA","1406","4"
"411","Meal","29","EMEA","1411","5"
"412","Meal","21","EMEA","1418","3"
"413","Meal","23","EMEA","1419","5"
"414","Meal","11","EMEA","1420","4"
"415","Laundry","92","EMEA","1425","4"
"416","Meal","23","EMEA","1429","5"
"417","Laundry","40","EMEA","1433","5"
"418","Meal","45","EMEA","1434","4"
"419","Laundry","83","EMEA","1436","4"
"420","Meal","14","EMEA","1440","3"
"421","Laundry","75","LATAM","1443","4"
"422","Laundry","82","EMEA","1445","5"
"423","Meal","62","EMEA","1446","5"
"424","Laundry","40","EMEA","1451","5"
"425","Laundry","68","EMEA","1458","5"
"426","Laundry","81","EMEA","1459","4"
"427","Meal","45","EMEA","1464","4"
"428","Meal","1","LATAM","1465","3"
"429","Laundry","21","EMEA","1466","3"
"430","Laundry","10","EMEA","1471","5"
"431","Laundry","72","LATAM","1474","4"
"432","Laundry","47","EMEA","1476","4"
"433","Meal","60","LATAM","1477","3"
"434","Meal","70","LATAM","1478","4"
"435","Meal","13","EMEA","1484","4"
"436","Laundry","81","EMEA","1486","4"
"437","Meal","21","EMEA","1488","3"
"438","Meal","1","LATAM","1498","4"
"439","Laundry","11","EMEA","1505","4"
"440","Meal","21","EMEA","1506","4"
"441","Laundry","40","EMEA","1514","5"
"442","Meal","26","LATAM","1515","5"
"443","Laundry","26","LATAM","1517","5"
"444","Laundry","60","LATAM","1520","4"
"445","Meal","34","EMEA","1525","5"
"446","Laundry","83","EMEA","1528","4"
"447","Meal","45","EMEA","1530","4"
"448","Meal","40","EMEA","1540","5"
"449","Meal","44","EMEA","1545","5"
"450","Laundry","41","LATAM","1551","3"
"451","Meal","21","EMEA","1557","3"
"452","Meal","82","EMEA","1562","5"
"453","Meal","81","EMEA","1563","4"
"454","Meal","37","LATAM","1570","4"
"455","Meal","29","EMEA","1572","4"
"456","Laundry","14","EMEA","1581","3"
"457","Meal","62","EMEA","1583","5"
"458","Laundry","70","LATAM","1584","5"
"459","Meal","63","EMEA","1591","4"
"460","Meal","14","EMEA","1602","3"
"461","Laundry","51","LATAM","1607","5"
"462","Meal","83","EMEA","1611","3"
"463","Laundry","82","EMEA","1612","5"
"464","Meal","13","EMEA","1614","5"
"465","Laundry","62","EMEA","1618","5"
"466","Meal","1","LATAM","1620","4"
"467","Meal","27","EMEA","1622","4"
"468","Laundry","69","LATAM","1624","4"
"469","Meal","27","EMEA","1626","4"
"470","Meal","42","LATAM","1629","5"
"471","Meal","23","EMEA","1637","5"
"472","Meal","41","LATAM","1638","4"
"473","Meal","50","EMEA","1646","3"
"474","Meal","10","EMEA","1647","5"
"475","Meal","42","LATAM","1650","5"
"476","Meal","30","EMEA","1652","5"
"477","Meal","23","EMEA","1654","4"
"478","Meal","11","EMEA","1658","4"
"479","Meal","1","LATAM","1661","4"
"480","Meal","1","LATAM","1665","4"
"481","Laundry","23","EMEA","1668","4"
"482","Laundry","21","EMEA","1670","3"
"483","Meal","13","EMEA","1674","5"
"484","Laundry","81","EMEA","1677","4"
"485","Meal","11","EMEA","1680","4"
"486","Laundry","13","EMEA","1691","4"
"487","Meal","1","LATAM","1695","3"
"488","Laundry","41","LATAM","1698","4"
"489","Meal","44","EMEA","1699","5"
"490","Laundry","95","EMEA","1702","4"
"491","Meal","34","EMEA","1719","5"
"492","Meal","23","EMEA","1723","4"
"493","Meal","11","EMEA","1724","4"
"494","Meal","81","EMEA","1728","4"
"495","Meal","26","LATAM","1730","5"
"496","Laundry","47","EMEA","1732","4"
"497","Laundry","98","EMEA","1737","4"
"498","Meal","13","EMEA","1742","5"
"499","Laundry","74","EMEA","1749","5"
"500","Meal","62","EMEA","1753","5"
"501","Laundry","82","EMEA","1756","5"
"502","Meal","29","EMEA","1760","5"
"503","Laundry","83","EMEA","1762","4"
"504","Laundry","30","EMEA","1765","4"
"505","Laundry","41","LATAM","1766","4"
"506","Meal","66","EMEA","1768","5"
"507","Meal","21","EMEA","1769","4"
"508","Meal","37","LATAM","1772","5"
"509","Meal","51","LATAM","1783","4"
"510","Meal","23","EMEA","1789","4"
"511","Meal","23","EMEA","1797","5"
"512","Meal","16","LATAM","1803","3"
"513","Meal","68","EMEA","1807","5"
"514","Meal","7","EMEA","1808","4"
"515","Meal","14","EMEA","1809","4"
"516","Meal","1","LATAM","1810","4"
"517","Laundry","37","LATAM","1814","5"
"518","Laundry","14","EMEA","1815","4"
"519","Meal","68","EMEA","1816","4"
"520","Meal","30","EMEA","1822","5"
"521","Meal","45","EMEA","1830","3"
"522","Laundry","29","EMEA","1842","5"
"523","Meal","60","LATAM","1843","4"
"524","Meal","83","EMEA","1845","4"
"525","Laundry","81","EMEA","1848","3"
"526","Meal","10","EMEA","1849","5"
"527","Laundry","62","EMEA","1853","5"
"528","Laundry","64","LATAM","1859","4"
"529","Laundry","21","EMEA","1861","4"
"530","Meal","1","LATAM","1863","3"
"531","Laundry","16","LATAM","1870","3"
"532","Laundry","41","LATAM","1874","4"
"533","Laundry","30","EMEA","1879","5"
"534","Meal","7","EMEA","1881","4"
"535","Laundry","41","LATAM","1892","4"
"536","Meal","13","EMEA","1893","4"
"537","Meal","7","EMEA","1904","3"
"538","Laundry","60","LATAM","1913","4"
"539","Meal","23","EMEA","1914","5"
"540","Meal","27","EMEA","1917","3"
"541","Meal","27","EMEA","1924","3"
"542","Laundry","29","EMEA","1926","5"
"543","Laundry","95","EMEA","1930","4"
"544","Meal","83","EMEA","1935","3"
"545","Meal","30","EMEA","1943","5"
"546","Meal","82","EMEA","1947","5"
"547","Meal","27","EMEA","1948","3"
"548","Meal","1","LATAM","1949","4"
"549","Meal","23","EMEA","1959","4"
"550","Meal","1","LATAM","1962","4"
"551","Meal","62","EMEA","1966","5"
"552","Laundry","47","EMEA","1968","3"
"553","Laundry","40","EMEA","1969","5"
"554","Meal","1","LATAM","1970","4"
"555","Laundry","30","EMEA","1971","5"
"556","Meal","7","EMEA","1976","4"
"557","Meal","21","EMEA","1978","4"
"558","Meal","27","EMEA","1982","4"
"559","Laundry","41","LATAM","1983","4"
"560","Laundry","68","EMEA","1988","4"
"561","Laundry","30","EMEA","2000","5"
"562","Meal","66","EMEA","2003","5"
"563","Meal","11","EMEA","2008","4"
"564","Laundry","70","LATAM","2012","4"
"565","Meal","1","LATAM","2014","3"
"566","Meal","26","LATAM","2015","5"
"567","Meal","11","EMEA","2018","4"
"568","Laundry","23","EMEA","2019","5"
"569","Meal","27","EMEA","2024","4"
"570","Meal","62","EMEA","2026","5"
"571","Laundry","27","EMEA","2028","4"
"572","Meal","51","LATAM","2029","5"
"573","Meal","42","LATAM","2032","4"
"574","Meal","30","EMEA","2033","4"
"575","Laundry","60","LATAM","2038","4"
"576","Laundry","23","EMEA","2040","5"
"577","Meal","21","EMEA","2045","3"
"578","Meal","70","LATAM","2046","4"
"579","Laundry","37","LATAM","2049","5"
"580","Meal","14","EMEA","2052","4"
"581","Meal","26","LATAM","2054","4"
"582","Meal","44","EMEA","2056","5"
"583","Laundry","37","LATAM","2058","4"
"584","Laundry","11","EMEA","2060","4"
"585","Meal","14","EMEA","2063","3"
"586","Meal","10","EMEA","2065","5"
"587","Meal","10","EMEA","2066","5"
"588","Meal","40","EMEA","2067","5"
"589","Laundry","26","LATAM","2068","5"
"590","Meal","41","LATAM","2069","3"
"591","Meal","50","EMEA","2070","3"
"592","Meal","13","EMEA","2071","5"
"593","Laundry","64","LATAM","2075","4"
"594","Laundry","57","LATAM","2076","4"
"595","Laundry","68","EMEA","2077","5"
"596","Laundry","82","EMEA","2086","5"
"597","Meal","27","EMEA","2091","3"
"598","Meal","11","EMEA","2092","4"
"599","Meal","50","EMEA","2096","4"
"600","Meal","45","EMEA","2109","4"
"601","Laundry","34","EMEA","2112","4"
"602","Meal","1","LATAM","2117","4"
"603","Meal","1","LATAM","2121","3"
"604","Laundry","60","LATAM","2128","3"
"605","Laundry","69","LATAM","2131","5"
"606","Laundry","40","EMEA","2132","5"
"607","Meal","75","LATAM","2134","4"
"608","Laundry","30","EMEA","2135","4"
"609","Meal","40","EMEA","2142","4"
"610","Meal","30","EMEA","2143","4"
"611","Meal","27","EMEA","2144","4"
"612","Laundry","72","LATAM","2157","4"
"613","Laundry","27","EMEA","2161","3"
"614","Meal","69","LATAM","2162","5"
"615","Meal","21","EMEA","2168","4"
"616","Laundry","23","EMEA","2172","5"
"617","Laundry","66","EMEA","2173","5"
"618","Meal","1","LATAM","2178","3"
"619","Laundry","50","EMEA","2181","3"
"620","Laundry","44","EMEA","2184","5"
"621","Laundry","37","LATAM","2187","5"
"622","Meal","1","LATAM","2189","4"
"623","Meal","83","EMEA","2194","4"
"624","Meal","11","EMEA","2199","4"
"625","Laundry","64","LATAM","2203","4"
"626","Laundry","26","LATAM","2206","5"
"627","Laundry","82","EMEA","2211","4"
"628","Meal","41","LATAM","2213","4"
"629","Laundry","63","EMEA","2216","4"
"630","Laundry","37","LATAM","2220","5"
"631","Meal","27","EMEA","2224","4"
"632","Laundry","37","LATAM","2226","5"
"633","Laundry","92","EMEA","2231","4"
"634","Meal","23","EMEA","2234","4"
"635","Meal","50","EMEA","2239","4"
"636","Laundry","13","EMEA","2243","5"
"637","Laundry","74","EMEA","2244","5"
"638","Meal","26","LATAM","2255","5"
"639","Meal","68","EMEA","2259","5"
"640","Meal","13","EMEA","2264","4"
"641","Laundry","94","EMEA","2271","5"
"642","Meal","10","EMEA","2275","5"
"643","Meal","13","EMEA","2277","5"
"644","Meal","14","EMEA","2278","3"
"645","Meal","63","EMEA","2284","4"
"646","Meal","34","EMEA","2285","5"
"647","Meal","41","LATAM","2286","4"
"648","Meal","7","EMEA","2298","4"
"649","Meal","11","EMEA","2302","3"
"650","Laundry","86","EMEA","2303","4"
"651","Meal","68","EMEA","2305","5"
"652","Meal","42","LATAM","2306","5"
"653","Meal","7","EMEA","2308","3"
"654","Laundry","1","LATAM","2318","4"
"655","Laundry","68","EMEA","2319","5"
"656","Meal","16","LATAM","2329","4"
"657","Laundry","45","EMEA","2332","3"
"658","Meal","7","EMEA","2335","3"
"659","Meal","16","LATAM","2337","4"
"660","Meal","50","EMEA","2338","3"
"661","Laundry","51","LATAM","2344","5"
"662","Meal","7","EMEA","2351","3"
"663","Meal","66","EMEA","2352","5"
"664","Laundry","66","EMEA","2353","5"
"665","Laundry","63","EMEA","2354","4"
"666","Meal","29","EMEA","2359","5"
"667","Meal","45","EMEA","2368","3"
"668","Laundry","95","EMEA","2372","3"
"669","Laundry","23","EMEA","2375","5"
"670","Laundry","10","EMEA","2376","4"
"671","Meal","16","LATAM","2377","3"
"672","Meal","30","EMEA","2378","5"
"673","Laundry","34","EMEA","2380","5"
"674","Meal","10","EMEA","2381","5"
"675","Meal","26","LATAM","2385","4"
"676","Laundry","60","LATAM","2386","3"
"677","Meal","60","LATAM","2390","4"
"678","Meal","41","LATAM","2391","4"
"679","Laundry","16","LATAM","2393","4"
"680","Meal","41","LATAM","2394","4"
"681","Meal","16","LATAM","2399","4"
"682","Laundry","30","EMEA","2403","5"
"683","Meal","11","EMEA","2405","3"
"684","Laundry","70","LATAM","2409","5"
"685","Laundry","29","EMEA","2410","4"
"686","Laundry","90","EMEA","2411","5"
"687","Meal","14","EMEA","2422","3"
"688","Laundry","29","EMEA","2425","4"
"689","Laundry","26","LATAM","2427","4"
"690","Laundry","64","LATAM","2430","3"
"691","Laundry","13","EMEA","2431","4"
"692","Meal","16","LATAM","2432","4"
"693","Meal","41","LATAM","2435","4"
"694","Laundry","44","EMEA","2437","5"
"695","Laundry","21","EMEA","2442","4"
"696","Meal","42","LATAM","2445","4"
"697","Laundry","23","EMEA","2452","5"
